from,to
Nico Minoru,Sentinel (comics)
Nico Minoru,Ultron
Nico Minoru,Julie Power
Nico Minoru,Victor Mancha
Nico Minoru,Magik (comics)
Nico Minoru,Xavin
Nico Minoru,Val Rhymin
Nico Minoru,Daimon Hellstrom
Nico Minoru,She-Hulk
Nico Minoru,Darkhawk
Nico Minoru,Cullen Bloodstone
Nico Minoru,Gibborim (comics)
Nico Minoru,Medusa (comics)
Nico Minoru,Gertrude Yorkes
Nico Minoru,Doctor Doom
Nico Minoru,Namora
Bi-Beast,Squirrel Girl
Bi-Beast,Wendigo (comics)
Bi-Beast,Fin Fang Foom
Bi-Beast,Man-Beast
Bi-Beast,MODOK
Bi-Beast,Thor (Marvel Comics)
Bi-Beast,Red Raven (Marvel Comics)
Bi-Beast,Betty Ross
Bi-Beast,Thing (comics)
Bi-Beast,She-Hulk
Bi-Beast,Power Princess
Bi-Beast,Stranger (comics)
Jimmy Woo,Sharon Carter
Jimmy Woo,Kamala Khan
Jimmy Woo,Marvel Boy (Robert Grayson)
Jimmy Woo,Yellow Claw (comics)
Jimmy Woo,"Godzilla, King of the Monsters (comic book)"
Jimmy Woo,Red Ronin
Jimmy Woo,Blue Marvel
Jimmy Woo,Gorilla-Man
Jimmy Woo,Silk (comics)
Jimmy Woo,Spider-Man
Jimmy Woo,Namora
Jimmy Woo,Night Thrasher (Dwayne Taylor)
Jimmy Woo,Amadeus Cho
Jimmy Woo,Doctor Octopus
Digger (Marvel Comics),"Morbius, the Living Vampire"
Digger (Marvel Comics),Dormammu
Digger (Marvel Comics),Jennifer Kale
Digger (Marvel Comics),Man-Thing
Digger (Marvel Comics),Zombie (comics)
Digger (Marvel Comics),Moon Knight
Digger (Marvel Comics),Mockingbird (Marvel Comics)
Digger (Marvel Comics),Snapdragon (comics)
Digger (Marvel Comics),Black Talon (comics)
Digger (Marvel Comics),Shroud (comics)
Digger (Marvel Comics),Hood (comics)
Madelyne Pryor,Doctor Strange
Madelyne Pryor,Dormammu
Madelyne Pryor,Corsair (comics)
Madelyne Pryor,Enchantress (Marvel Comics)
Madelyne Pryor,N'astirh
Madelyne Pryor,Revanche (Marvel Comics)
Madelyne Pryor,Roma (comics)
Madelyne Pryor,Lady Mastermind
Madelyne Pryor,Hobgoblin (comics)
Madelyne Pryor,Cable (comics)
Madelyne Pryor,Nate Grey
Madelyne Pryor,Colossus (comics)
Madelyne Pryor,Demogoblin
Madelyne Pryor,Aurora (comics)
Madelyne Pryor,Lady Deathstrike
Madelyne Pryor,Jack O'Lantern (Marvel Comics)
Madelyne Pryor,Havok (comics)
Madelyne Pryor,Dazzler (Marvel Comics)
Madelyne Pryor,Malice (comics)
Madelyne Pryor,Cyclops (Marvel Comics)
Madelyne Pryor,Nightcrawler (comics)
Madelyne Pryor,Apocalypse (comics)
Madelyne Pryor,Rogue (comics)
Madelyne Pryor,Carol Danvers
Madelyne Pryor,Marauders (comics)
Madelyne Pryor,Sebastian Shaw (comics)
Madelyne Pryor,Sabretooth (comics)
Madelyne Pryor,Storm (Marvel Comics)
Madelyne Pryor,Shadow King
Madelyne Pryor,Betsy Braddock
Madelyne Pryor,Emma Frost
Madelyne Pryor,Magik (comics)
Madelyne Pryor,Spiral (comics)
Madelyne Pryor,Jean Grey
Madelyne Pryor,Mastermind (Jason Wyngarde)
Madelyne Pryor,Selene (comics)
Madelyne Pryor,Beyonder
Madelyne Pryor,Empath (comics)
Madelyne Pryor,Kwannon (character)
Madelyne Pryor,Professor X
Madelyne Pryor,Sage (comics)
Madelyne Pryor,Proteus (Marvel Comics)
Madelyne Pryor,Lee Forrester
Madelyne Pryor,Doctor Doom
Madelyne Pryor,Ben Reilly
Madelyne Pryor,Cassandra Nova
T-Ray (comics),Doctor Strange
T-Ray (comics),Agent X (Marvel Comics)
T-Ray (comics),Brother Voodoo
T-Ray (comics),"Bob, Agent of HYDRA"
T-Ray (comics),Death (Marvel Comics)
T-Ray (comics),Cable (comics)
T-Ray (comics),Doctor Bong
T-Ray (comics),Warpath (comics)
Tinkerer (Marvel Comics),Agent (comics)
Tinkerer (Marvel Comics),Stilt-Man
Tinkerer (Marvel Comics),Ringer (comics)
Tinkerer (Marvel Comics),Grim Reaper (comics)
Tinkerer (Marvel Comics),Killer Shrike
Tinkerer (Marvel Comics),Grizzly (comics)
Tinkerer (Marvel Comics),Valeria Richards
Tinkerer (Marvel Comics),Trapster
Tinkerer (Marvel Comics),Hammerhead (comics)
Tinkerer (Marvel Comics),Mad Thinker
Tinkerer (Marvel Comics),Constrictor (comics)
Tinkerer (Marvel Comics),Whirlwind (comics)
Tinkerer (Marvel Comics),Subterranea (comics)
Tinkerer (Marvel Comics),Jack O'Lantern (Marvel Comics)
Tinkerer (Marvel Comics),Cyber (Marvel Comics)
Tinkerer (Marvel Comics),Montana (comics)
Tinkerer (Marvel Comics),Abner Jenkins
Tinkerer (Marvel Comics),Jester (Marvel Comics)
Tinkerer (Marvel Comics),Black Cat (Marvel Comics)
Tinkerer (Marvel Comics),Big Wheel (comics)
Tinkerer (Marvel Comics),Taskmaster (comics)
Tinkerer (Marvel Comics),Carol Danvers
Tinkerer (Marvel Comics),Spider-Slayer
Tinkerer (Marvel Comics),Phil Urich
Tinkerer (Marvel Comics),Punisher
Tinkerer (Marvel Comics),Rocket Racer
Tinkerer (Marvel Comics),Tombstone (comics)
Tinkerer (Marvel Comics),Owl (Marvel Comics)
Tinkerer (Marvel Comics),Old Man Logan
Tinkerer (Marvel Comics),Shocker (comics)
Tinkerer (Marvel Comics),Blizzard (Marvel Comics)
Tinkerer (Marvel Comics),Hypno-Hustler
Tinkerer (Marvel Comics),Spider-Man
Tinkerer (Marvel Comics),She-Hulk
Tinkerer (Marvel Comics),Chameleon (comics)
Tinkerer (Marvel Comics),Whiplash (comics)
Tinkerer (Marvel Comics),Nitro (comics)
Tinkerer (Marvel Comics),Boomerang (comics)
Tinkerer (Marvel Comics),Rusty Collins
Tinkerer (Marvel Comics),Porcupine (comics)
Tinkerer (Marvel Comics),Doctor Doom
Tinkerer (Marvel Comics),Mysterio
Tinkerer (Marvel Comics),Venom (Marvel Comics character)
Tinkerer (Marvel Comics),Doctor Octopus
Jack Flag,Rick Jones (comics)
Jack Flag,Madcap (comics)
Jack Flag,Free Spirit (comics)
Jack Flag,Mister Hyde (comics)
Jack Flag,Cobra (Marvel Comics)
Jack Flag,Fenris (comics)
Jack Flag,Bullseye (comics)
Jack Flag,Helmut Zemo
Jack Flag,Blastaar
Jack Flag,Fer-de-Lance (comics)
Grant Ward (Marvel Cinematic Universe)#Comics,Phil Coulson
Grant Ward (Marvel Cinematic Universe)#Comics,U.S. Agent (comics)
Grant Ward (Marvel Cinematic Universe)#Comics,Melinda May
Tiger Shark (Marvel Comics),Electro (Marvel Comics)
Tiger Shark (Marvel Comics),Armadillo (comics)
Tiger Shark (Marvel Comics),Lady Dorma
Tiger Shark (Marvel Comics),Thing (comics)
Tiger Shark (Marvel Comics),Krang (Marvel Comics)
Tiger Shark (Marvel Comics),Invisible Woman
Tiger Shark (Marvel Comics),Stingray (comics)
Tiger Shark (Marvel Comics),Loa (comics)
Tiger Shark (Marvel Comics),Hood (comics)
Tiger Shark (Marvel Comics),Liz Allan
Tiger Shark (Marvel Comics),Namorita
Tiger Shark (Marvel Comics),Whirlwind (comics)
Tiger Shark (Marvel Comics),Llyra
Tiger Shark (Marvel Comics),Attuma
Tiger Shark (Marvel Comics),Kraven the Hunter
Tiger Shark (Marvel Comics),Triton (comics)
Tiger Shark (Marvel Comics),Apocalypse (comics)
Tiger Shark (Marvel Comics),Carol Danvers
Tiger Shark (Marvel Comics),Deadpool
Tiger Shark (Marvel Comics),Phil Urich
Tiger Shark (Marvel Comics),Henry Pym
Tiger Shark (Marvel Comics),Silver Surfer
Tiger Shark (Marvel Comics),Mole Man
Tiger Shark (Marvel Comics),Orka (comics)
Tiger Shark (Marvel Comics),Egghead (Marvel Comics)
Tiger Shark (Marvel Comics),Spider-Man
Tiger Shark (Marvel Comics),Mister Sinister
Tiger Shark (Marvel Comics),She-Hulk
Tiger Shark (Marvel Comics),Piranha (comics)
Tiger Shark (Marvel Comics),Underworld (comics)
Tiger Shark (Marvel Comics),Doctor Doom
Tiger Shark (Marvel Comics),Patsy Walker
Tiger Shark (Marvel Comics),Dark Beast
Tiger Shark (Marvel Comics),Tigra
Coldblood,Sleepwalker (comics)
Coldblood,Havok (comics)
Coldblood,Deathlok
Coldblood,Wonder Man
Coldblood,Silver Sable
Coldblood,Trevor Slattery
Coldblood,Siege (John Kelly)
Coldblood,Dracula (Marvel Comics)
Coldblood,Terror Inc.
Coldblood,Darkhawk
Coldblood,Firepower (comics)
Coldblood,Iron Patriot
Coldblood,Stranger (comics)
Makkari (comics),Maelstrom (comics)
Makkari (comics),Kro (comics)
Makkari (comics),Hurricane (comics)
Makkari (comics),Whizzer (comics)
Makkari (comics),Sersi
Makkari (comics),Ghaur
Makkari (comics),Uni-Mind
Makkari (comics),Thena
Makkari (comics),Sprite (Eternal)
Makkari (comics),Ikaris
Makkari (comics),Stranger (comics)
Makkari (comics),Elders of the Universe
Makkari (comics),Silver Surfer
Makkari (comics),Quasar (comics)
Makkari (comics),Death (Marvel Comics)
Makkari (comics),Super Sabre (comics)
Makkari (comics),Super-Skrull
Makkari (comics),Eternity (comics)
Makkari (comics),Runner (comics)
Makkari (comics),Black Racer (Marvel Comics)
Makkari (comics),Thor (Marvel Comics)
Makkari (comics),Hermes (Marvel Comics)
Makkari (comics),Speed Demon (comics)
Sphinx (Marvel Comics),Diamondhead (comics)
Sphinx (Marvel Comics),Galactus
Sphinx (Marvel Comics),Mister Fantastic
Sphinx (Marvel Comics),Thing (comics)
Sphinx (Marvel Comics),Terrax
Sphinx (Marvel Comics),Black Bolt
Sphinx (Marvel Comics),Puppet Master (Marvel Comics)
Blizzard (Marvel Comics),Electro (Marvel Comics)
Blizzard (Marvel Comics),Bethany Cabe
Blizzard (Marvel Comics),Daredevil (Marvel Comics character)
Blizzard (Marvel Comics),Baron Zemo
Blizzard (Marvel Comics),Happy Hogan (comics)
Blizzard (Marvel Comics),Titanium Man
Blizzard (Marvel Comics),Zeke Stane
Blizzard (Marvel Comics),Hammerhead (comics)
Blizzard (Marvel Comics),Hood (comics)
Blizzard (Marvel Comics),Constrictor (comics)
Blizzard (Marvel Comics),Whirlwind (comics)
Blizzard (Marvel Comics),Korvac
Blizzard (Marvel Comics),Abner Jenkins
Blizzard (Marvel Comics),Black Bolt
Blizzard (Marvel Comics),Firebrand (Marvel Comics)
Blizzard (Marvel Comics),Iron Monger
Blizzard (Marvel Comics),Crossfire (comics)
Blizzard (Marvel Comics),Living Laser
Blizzard (Marvel Comics),Agent X (Marvel Comics)
Blizzard (Marvel Comics),Julie Power
Blizzard (Marvel Comics),Overmind (comics)
Blizzard (Marvel Comics),Captain Atlas
Blizzard (Marvel Comics),Iron Man 2020
Blizzard (Marvel Comics),Ghost (Marvel Comics)
Blizzard (Marvel Comics),Jemma Simmons
Blizzard (Marvel Comics),Shocker (comics)
Blizzard (Marvel Comics),Spider-Man
Blizzard (Marvel Comics),She-Hulk
Blizzard (Marvel Comics),Purple Man
Blizzard (Marvel Comics),Whiplash (comics)
Blizzard (Marvel Comics),Annihilus
Blizzard (Marvel Comics),Force (comics)
Blizzard (Marvel Comics),Spymaster (comics)
Blizzard (Marvel Comics),Justin Hammer
Blizzard (Marvel Comics),Boomerang (comics)
Blizzard (Marvel Comics),Fixer (comics)
Blizzard (Marvel Comics),Songbird (comics)
Blizzard (Marvel Comics),Silver Sable
Blizzard (Marvel Comics),Tarantula (Marvel Comics)
Blizzard (Marvel Comics),Mandarin (comics)
Blizzard (Marvel Comics),Unicorn (Marvel Comics)
Blizzard (Marvel Comics),Batroc the Leaper
Blizzard (Marvel Comics),Melter
Blizzard (Marvel Comics),Pepper Potts
Stiletto (comics),Justin Hammer
Stiletto (comics),Luke Cage
Stiletto (comics),Nightshade (Marvel Comics)
Stiletto (comics),Man Mountain Marko
Stiletto (comics),Sphinx (Marvel Comics)
Stiletto (comics),Eel (comics)
Stiletto (comics),Iron Fist (comics)
Stiletto (comics),Misty Knight
Stiletto (comics),Spider-Man
Stiletto (comics),Hammerhead (comics)
Stiletto (comics),Namorita
Selene (comics),Doctor Strange
Selene (comics),Destiny (Irene Adler)
Selene (comics),Red Skull
Selene (comics),Unus the Untouchable
Selene (comics),Enchantress (Marvel Comics)
Selene (comics),Danielle Moonstar
Selene (comics),Sunspot (comics)
Selene (comics),Cable (comics)
Selene (comics),Colossus (comics)
Selene (comics),Wallflower (comics)
Selene (comics),Caliban (comics)
Selene (comics),Moira MacTaggart
Selene (comics),Blackheart
Selene (comics),Trevor Fitzroy
Selene (comics),Kulan Gath
Selene (comics),Wither (comics)
Selene (comics),Lady Deathstrike
Selene (comics),Spoor (comics)
Selene (comics),Warpath (comics)
Selene (comics),Friedrich Von Roehm
Selene (comics),Magneto (Marvel Comics)
Selene (comics),Pixie (X-Men)
Selene (comics),Husk (comics)
Selene (comics),Cyclops (Marvel Comics)
Selene (comics),Red Sonja
Selene (comics),Stepford Cuckoos
Selene (comics),Sebastian Shaw (comics)
Selene (comics),Vanisher
Selene (comics),Firestar (Marvel Comics)
Selene (comics),Gamesmaster (comics)
Selene (comics),Amanda Sefton
Selene (comics),Emma Frost
Selene (comics),Jean Grey
Selene (comics),Lois London
Selene (comics),Blink (comics)
Selene (comics),Empath (comics)
Selene (comics),Donald Pierce
Selene (comics),Professor X
Selene (comics),Juggernaut (comics)
Selene (comics),Nimrod (comics)
Selene (comics),Aleksander Lukin
Selene (comics),Blindfold (comics)
Mister Sensitive,X-Statix
Modular Man,Ulysses Bloodstone
Modular Man,Spider-Man
Modular Man,Killer Shrike
Modular Man,Beast (comics)
Kaine Parker,Rhino (comics)
Kaine Parker,Armadillo (comics)
Kaine Parker,Daredevil (Marvel Comics character)
Kaine Parker,Darkdevil
Kaine Parker,Demogoblin
Kaine Parker,Anya Corazon
Kaine Parker,Carnage (character)
Kaine Parker,Kraven the Hunter
Kaine Parker,Hummingbird (comics)
Kaine Parker,Grim Hunter
Kaine Parker,Spider-Slayer
Kaine Parker,Lobo Brothers
Kaine Parker,Scarlet Spider
Kaine Parker,Madame Web
Kaine Parker,Marlo Chandler
Kaine Parker,Spidercide
Kaine Parker,Death (Marvel Comics)
Kaine Parker,Jackal (Marvel Comics)
Kaine Parker,Old Man Logan
Kaine Parker,Spider-Man
Kaine Parker,Miss Arrow
Kaine Parker,Shathra
Kaine Parker,Flash Thompson
Kaine Parker,Tarantula (Marvel Comics)
Kaine Parker,Judas Traveller
Kaine Parker,Arnim Zola
Kaine Parker,Spider-Girl (Mayday Parker)
Kaine Parker,Ben Reilly
Kaine Parker,Doctor Octopus
Irene Merryweather,Colossus (comics)
Irene Merryweather,Cable (comics)
Irene Merryweather,Sebastian Shaw (comics)
Irene Merryweather,Sabretooth (comics)
Cyttorak,Doctor Strange
Cyttorak,Pete Wisdom
Cyttorak,Man-Thing
Cyttorak,Ancient One
Cyttorak,Professor X
Cyttorak,Juggernaut (comics)
Cyttorak,Thor (Marvel Comics)
Cyttorak,Doctor Doom
Cyttorak,Colossus (comics)
Cyttorak,Cable (comics)
Cyttorak,Man-Elephant
Cyttorak,Nightcrawler (comics)
Cyttorak,Black Tom Cassidy
Cyttorak,Spider-Man
Cyttorak,Morgan le Fay (Marvel Comics)
Apache Kid (comics),Kid Colt
Apache Kid (comics),Western Kid
Apache Kid (comics),Black Rider (comics)
Apache Kid (comics),Phantom Rider
Apache Kid (comics),Rawhide Kid
X-Statix#X-Force,Doctor Strange
X-Statix#X-Force,Deadpool
X-Statix#X-Force,Professor X
X-Statix#X-Force,Iceman (Marvel Comics)
X-Statix#X-Force,Spike (Marvel Comics)
X-Statix#X-Force,Doop (comics)
Liz Allan,Daredevil (Marvel Comics character)
Liz Allan,Absorbing Man
Liz Allan,Spider-Man 2099
Liz Allan,Hammerhead (comics)
Liz Allan,Betty Brant
Liz Allan,Stegron
Liz Allan,Black Cat (Marvel Comics)
Liz Allan,Firestar (Marvel Comics)
Liz Allan,Jean Grey
Liz Allan,Spider-Man
Liz Allan,Flash Thompson
Liz Allan,Molten Man
Liz Allan,Ben Urich
Liz Allan,Normie Osborn
Liz Allan,Doctor Octopus
Liz Allan,Mysterio
Liz Allan,Ned Leeds
Liz Allan,Kitty Pryde
Liz Allan,Venom (Marvel Comics character)
Liz Allan,Blob (comics)
Clive Reston,Rom (comics)
Clive Reston,Shockwave (comics)
Clive Reston,Pete Wisdom
Clive Reston,Black Jack Tarr
Ruby Summers,Maestro (comics)
Ruby Summers,Emma Frost
Ruby Summers,Layla Miller
Ruby Summers,Doctor Doom
Ruby Summers,Cyclops (Marvel Comics)
Ruby Summers,Trevor Fitzroy
Ruby Summers,Jamie Madrox
Nocturne (Talia Wagner),Thunderbird (John Proudstar)
Nocturne (Talia Wagner),Mojo (comics)
Nocturne (Talia Wagner),Timebroker
Nocturne (Talia Wagner),Mystique (comics)
Nocturne (Talia Wagner),Quicksilver (comics)
Nocturne (Talia Wagner),Callisto (comics)
Nocturne (Talia Wagner),Azazel (Marvel Comics)
Nocturne (Talia Wagner),Havok (comics)
Nocturne (Talia Wagner),Franklin Richards (Fantastic Four)
Nocturne (Talia Wagner),Magneto (Marvel Comics)
Nocturne (Talia Wagner),Dazzler (Marvel Comics)
Nocturne (Talia Wagner),Cyclops (Marvel Comics)
Nocturne (Talia Wagner),Nightcrawler (comics)
Nocturne (Talia Wagner),Xorn
Nocturne (Talia Wagner),Kiwi Black
Nocturne (Talia Wagner),Apocalypse (comics)
Nocturne (Talia Wagner),Graydon Creed
Nocturne (Talia Wagner),Marauders (comics)
Nocturne (Talia Wagner),Rogue (comics)
Nocturne (Talia Wagner),Black Tom Cassidy
Nocturne (Talia Wagner),Amanda Sefton
Nocturne (Talia Wagner),Wiccan (comics)
Nocturne (Talia Wagner),Pete Wisdom
Nocturne (Talia Wagner),Shadow King
Nocturne (Talia Wagner),Spiral (comics)
Nocturne (Talia Wagner),Mister Fantastic
Nocturne (Talia Wagner),Jean Grey
Nocturne (Talia Wagner),Meggan (character)
Nocturne (Talia Wagner),Blink (comics)
Nocturne (Talia Wagner),Captain Britain
Nocturne (Talia Wagner),Galactus
Nocturne (Talia Wagner),Speed (comics)
Nocturne (Talia Wagner),Professor X
Nocturne (Talia Wagner),Juggernaut (comics)
Nocturne (Talia Wagner),Sage (comics)
Nocturne (Talia Wagner),Crystal (comics)
Nocturne (Talia Wagner),Kitty Pryde
Nocturne (Talia Wagner),Warpath (comics)
Nocturne (Talia Wagner),Cassandra Nova
Iceman (Marvel Comics),Jimmy Hudson
Iceman (Marvel Comics),Daken
Iceman (Marvel Comics),Mystique (comics)
Iceman (Marvel Comics),Predator X (Marvel Comics)
Iceman (Marvel Comics),Thing (comics)
Iceman (Marvel Comics),Invisible Woman
Iceman (Marvel Comics),Cable (comics)
Iceman (Marvel Comics),Colossus (comics)
Iceman (Marvel Comics),Northstar (Marvel Comics)
Iceman (Marvel Comics),Hercules (Marvel Comics)
Iceman (Marvel Comics),Wild Child (comics)
Iceman (Marvel Comics),Trevor Fitzroy
Iceman (Marvel Comics),Azazel (Marvel Comics)
Iceman (Marvel Comics),Subterranea (comics)
Iceman (Marvel Comics),Kestrel (Marvel Comics)
Iceman (Marvel Comics),Sunfire (comics)
Iceman (Marvel Comics),Dust (comics)
Iceman (Marvel Comics),Darkstar (Marvel Comics)
Iceman (Marvel Comics),Warpath (comics)
Iceman (Marvel Comics),Mikhail Rasputin
Iceman (Marvel Comics),Magneto (Marvel Comics)
Iceman (Marvel Comics),Pixie (X-Men)
Iceman (Marvel Comics),Tabitha Smith
Iceman (Marvel Comics),Kevin Sydney
Iceman (Marvel Comics),Cyclops (Marvel Comics)
Iceman (Marvel Comics),Nightcrawler (comics)
Iceman (Marvel Comics),Cannonball (comics)
Iceman (Marvel Comics),Krakoa
Iceman (Marvel Comics),Apocalypse (comics)
Iceman (Marvel Comics),Rogue (comics)
Iceman (Marvel Comics),Marauders (comics)
Iceman (Marvel Comics),Carol Danvers
Iceman (Marvel Comics),Firestar (Marvel Comics)
Iceman (Marvel Comics),Oya (comics)
Iceman (Marvel Comics),Sentinel (comics)
Iceman (Marvel Comics),Black Tom Cassidy
Iceman (Marvel Comics),Storm (Marvel Comics)
Iceman (Marvel Comics),Shadow King
Iceman (Marvel Comics),Anole (comics)
Iceman (Marvel Comics),Beast (comics)
Iceman (Marvel Comics),Emma Frost
Iceman (Marvel Comics),Old Man Logan
Iceman (Marvel Comics),Avalanche (comics)
Iceman (Marvel Comics),Living Monolith
Iceman (Marvel Comics),Jean Grey
Iceman (Marvel Comics),Spider-Man
Iceman (Marvel Comics),Master Mold
Iceman (Marvel Comics),Pyro (Marvel Comics)
Iceman (Marvel Comics),Mister Sinister
Iceman (Marvel Comics),Stacy X
Iceman (Marvel Comics),Hepzibah (comics)
Iceman (Marvel Comics),Professor X
Iceman (Marvel Comics),Juggernaut (comics)
Iceman (Marvel Comics),Exodus (comics)
Iceman (Marvel Comics),Proteus (Marvel Comics)
Iceman (Marvel Comics),Professor Power
Iceman (Marvel Comics),Thor (Marvel Comics)
Iceman (Marvel Comics),Kitty Pryde
Iceman (Marvel Comics),Arcade (Marvel Comics)
Iceman (Marvel Comics),Mephisto (comics)
Iceman (Marvel Comics),Venom (Marvel Comics character)
Iceman (Marvel Comics),Cassandra Nova
Richard Rory,Foolkiller
Richard Rory,Man-Thing
Richard Rory,Daredevil (Marvel Comics character)
Richard Rory,Gladiator (Melvin Potter)
Richard Rory,John Jameson (comics)
Richard Rory,Omega the Unknown
Richard Rory,Ruby Thursday
Richard Rory,Nighthawk (Marvel Comics)
Richard Rory,She-Hulk
Moon Girl (Marvel Comics),Squirrel Girl
Moon Girl (Marvel Comics),Captain Marvel (Marvel Comics)
Moon Girl (Marvel Comics),Doctor Strange
Moon Girl (Marvel Comics),Devil Dinosaur
Moon Girl (Marvel Comics),Mole Man
Moon Girl (Marvel Comics),Beast (comics)
Moon Girl (Marvel Comics),Karnak (comics)
Moon Girl (Marvel Comics),Daisy Johnson
Moon Girl (Marvel Comics),Ego the Living Planet
Moon Girl (Marvel Comics),Mister Fantastic
Moon Girl (Marvel Comics),Thing (comics)
Moon Girl (Marvel Comics),Doctor Doom
Moon Girl (Marvel Comics),Riri Williams
Moon Girl (Marvel Comics),Moon-Boy
Moon Girl (Marvel Comics),Amadeus Cho
Vulcan (Marvel Comics),Ch'od
Vulcan (Marvel Comics),Silver Surfer
Vulcan (Marvel Comics),Corsair (comics)
Vulcan (Marvel Comics),Havok (comics)
Vulcan (Marvel Comics),Smasher (Marvel Comics)
Vulcan (Marvel Comics),D'Ken
Vulcan (Marvel Comics),Korvus (comics)
Vulcan (Marvel Comics),Professor X
Vulcan (Marvel Comics),Darwin (comics)
Vulcan (Marvel Comics),Cyclops (Marvel Comics)
Vulcan (Marvel Comics),Black Bolt
Vulcan (Marvel Comics),Krakoa
Vulcan (Marvel Comics),Raza Longknife
Vulcan (Marvel Comics),Deathbird
Vulcan (Marvel Comics),Adam Warlock
Egghead (Marvel Comics),Puppet Master (Marvel Comics)
Egghead (Marvel Comics),Crossfire (comics)
Egghead (Marvel Comics),Yellowjacket (Marvel Comics)
Egghead (Marvel Comics),J. Jonah Jameson
Egghead (Marvel Comics),Ghost (Marvel Comics)
Egghead (Marvel Comics),Giant-Man
Egghead (Marvel Comics),Arnim Zola
Egghead (Marvel Comics),Doctor Doom
Egghead (Marvel Comics),Goliath (Marvel Comics)
Egghead (Marvel Comics),Cobalt Man
Egghead (Marvel Comics),Wasp (comics)
Egghead (Marvel Comics),Spider-Man
Egghead (Marvel Comics),Deadpool
Egghead (Marvel Comics),Mad Thinker
Egghead (Marvel Comics),Darren Cross
Black Marvel,Electro (Marvel Comics)
Black Marvel,Robbie Robertson (comics)
Black Marvel,Miss America (Madeline Joyce)
Black Marvel,Thunderer (Marvel Comics)
Black Marvel,Mephisto (comics)
Black Marvel,Spider-Man
Black Marvel,Red Skull
In-Betweener,Elders of the Universe
In-Betweener,Doctor Strange
In-Betweener,Star Brand
In-Betweener,Galactus
In-Betweener,Death (Marvel Comics)
In-Betweener,Libra (Marvel Comics)
In-Betweener,Lord Chaos (Marvel Comics)
In-Betweener,Scorpio (Marvel Comics)
In-Betweener,Adam Warlock
Kangaroo (comics),Luke Cage
Kangaroo (comics),Eric O'Grady#Black Ant
Kangaroo (comics),Lizard (comics)
Kangaroo (comics),Grizzly (comics)
Kangaroo (comics),Hammerhead (comics)
Kangaroo (comics),Jonas Harrow
Kangaroo (comics),Lady Deathstrike
Kangaroo (comics),Kraven the Hunter
Kangaroo (comics),Magneto (Marvel Comics)
Kangaroo (comics),Taskmaster (comics)
Kangaroo (comics),Deadpool
Kangaroo (comics),Punisher
Kangaroo (comics),Spot (comics)
Kangaroo (comics),Gibbon (comics)
Kangaroo (comics),Tombstone (comics)
Kangaroo (comics),Owl (Marvel Comics)
Kangaroo (comics),Shocker (comics)
Kangaroo (comics),Iron Fist (comics)
Kangaroo (comics),Spider-Man
Kangaroo (comics),Chameleon (comics)
Kangaroo (comics),Boomerang (comics)
Kangaroo (comics),Prowler (Marvel Comics)
Kangaroo (comics),Jean DeWolff
Kangaroo (comics),Arnim Zola
Kangaroo (comics),Arcade (Marvel Comics)
Kangaroo (comics),Batroc the Leaper
Kangaroo (comics),Ben Reilly
Kangaroo (comics),Doctor Octopus
Wonder Man#Guardians of the Galaxy,Luke Cage
Wonder Man#Guardians of the Galaxy,Crossbones (comics)
Wonder Man#Guardians of the Galaxy,Immortus
Wonder Man#Guardians of the Galaxy,Enchantress (Marvel Comics)
Wonder Man#Guardians of the Galaxy,Ultimo (Marvel Comics)
Wonder Man#Guardians of the Galaxy,Grim Reaper (comics)
Wonder Man#Guardians of the Galaxy,Blackheart
Wonder Man#Guardians of the Galaxy,Hercules (Marvel Comics)
Wonder Man#Guardians of the Galaxy,Erik Josten
Wonder Man#Guardians of the Galaxy,Sunfire (comics)
Wonder Man#Guardians of the Galaxy,Attuma
Wonder Man#Guardians of the Galaxy,Killraven
Wonder Man#Guardians of the Galaxy,Korvac
Wonder Man#Guardians of the Galaxy,Arkon
Wonder Man#Guardians of the Galaxy,War Machine
Wonder Man#Guardians of the Galaxy,Human Torch (android)
Wonder Man#Guardians of the Galaxy,Kang the Conqueror
Wonder Man#Guardians of the Galaxy,Rogue (comics)
Wonder Man#Guardians of the Galaxy,Nightcrawler (comics)
Wonder Man#Guardians of the Galaxy,Dreadnought (comics)
Wonder Man#Guardians of the Galaxy,Carol Danvers
Wonder Man#Guardians of the Galaxy,Ultron
Wonder Man#Guardians of the Galaxy,Storm (Marvel Comics)
Wonder Man#Guardians of the Galaxy,Living Laser
Wonder Man#Guardians of the Galaxy,Madame Masque
Wonder Man#Guardians of the Galaxy,Beast (comics)
Wonder Man#Guardians of the Galaxy,Mockingbird (Marvel Comics)
Wonder Man#Guardians of the Galaxy,Old Man Logan
Wonder Man#Guardians of the Galaxy,Black Talon (comics)
Wonder Man#Guardians of the Galaxy,Wasp (comics)
Wonder Man#Guardians of the Galaxy,Ronin (Marvel Comics)
Wonder Man#Guardians of the Galaxy,Graviton (comics)
Wonder Man#Guardians of the Galaxy,Daisy Johnson
Wonder Man#Guardians of the Galaxy,MODOK
Wonder Man#Guardians of the Galaxy,Thor (Marvel Comics)
Wonder Man#Guardians of the Galaxy,Doctor Doom
Wonder Man#Guardians of the Galaxy,Tigra
Wonder Man#Guardians of the Galaxy,Mephisto (comics)
Wonder Man#Guardians of the Galaxy,Wonder Woman
Phobos (Marvel Comics),Doctor Strange
